良い	いい|よい	ii|yoi
観光地	かんこうち	kannkouchi
科学的	かがくてき	kagakuteki
受付中	うけつけちゅう	uketsuketyuu
結果的	けっかてき	kekkateki
満足度	まんぞくど	mannzokudo
会議室	かいぎしつ	kaigishitsu
目的地	もくてきち	mokutekichi
客観的	きゃっかんてき	kyakkannteki
調味料	ちょうみりょう	tyoumiryou
特化	とっか	tokka
生産者	せいさんしゃ	seisannsha
一方的	いっぽうてき	ippouteki
卒業後	そつぎょうご	sotsugyougo
全国的	ぜんこくてき	zennkokuteki
参院選	さんいんせん	sanninnsenn
希望者	きぼうしゃ	kibousha
会議所	かいぎしょ	kaigisho
連合会	れんごうかい	renngoukai
特産品	とくさんひん	tokusannhinn
料理店	りょうりてん	ryouritenn
説明書	せつめいしょ	setsumeisho
戸建	こだて	kodate
根本的	こんぽんてき	konnponnteki
世界観	せかいかん	sekaikann
今週末	こんしゅうまつ	konnshuumatsu
合理的	ごうりてき	gouriteki
記念館	きねんかん	kinennkann
大自然	だいしぜん	daishizenn
共和国	きょうわこく	kyouwakoku
大浴場	だいよくじょう	daiyokujou
植民地	しょくみんち	shokuminnchi
選挙区	せんきょく	sennkyoku
卒業式	そつぎょうしき	sotsugyoushiki
県産	けんさん	kennsann
歯周	ししゅう	shishuu
科学省	かがくしょう	kagakushou
生協	せいきょう	seikyou
法改正	ほうかいせい	houkaisei
物理的	ぶつりてき	butsuriteki
機関車	きかんしゃ	kikannsha
同法	どうほう	douhou
使用料	しようりょう	shiyouryou
理想的	りそうてき	risouteki
商材	しょうざい	shouzai
協働	きょうどう	kyoudou
号機	ごうき	gouki
全面的	ぜんめんてき	zennmennteki
時間的	じかんてき	jikannteki
意図的	いとてき	itoteki
最高級	さいこうきゅう	saikoukyuu
助成金	じょせいきん	joseikinn
共同体	きょうどうたい	kyoudoutai
無農薬	むのうやく	munouyaku
長期的	ちょうきてき	tyoukiteki
歯周病	ししゅうびょう	shishuubyou
主観的	しゅかんてき	shukannteki
消化器	しょうかき	shoukaki
副会長	ふくかいちょう	fukukaityou
文化的	ぶんかてき	bunnkateki
加害者	かがいしゃ	kagaisha
給付金	きゅうふきん	kyuufukinn
食料品	しょくりょうひん	shokuryouhinn
完成度	かんせいど	kannseido
自治会	じちかい	jichikai
小説家	しょうせつか	shousetsuka
自主的	じしゅてき	jishuteki
記念品	きねんひん	kinennhinn
体験者	たいけんしゃ	taikennsha
参考書	さんこうしょ	sannkousho
競争力	きょうそうりょく	kyousouryoku
健康的	けんこうてき	kennkouteki
競馬場	けいばじょう	keibajou
不良品	ふりょうひん	furyouhinn
工芸品	こうげいひん	kougeihinn
協力者	きょうりょくしゃ	kyouryokusha
本会議	ほんかいぎ	honnkaigi
相対的	そうたいてき	soutaiteki
計画的	けいかくてき	keikakuteki
決勝戦	けっしょうせん	kesshousenn
年度末	ねんどまつ	nenndomatsu
登録者	とうろくしゃ	tourokusha
生徒会	せいとかい	seitokai
加工品	かこうひん	kakouhinn
対照的	たいしょうてき	taishouteki
生産量	せいさんりょう	seisannryou
必然的	ひつぜんてき	hitsuzennteki
当選者	とうせんしゃ	tousennsha
参考人	さんこうにん	sannkouninn
部分的	ぶぶんてき	bubunnteki
司令官	しれいかん	shireikann
産業省	さんぎょうしょう	sanngyoushou
人間的	にんげんてき	ninngennteki
最新作	さいしんさく	saishinnsaku
交付金	こうふきん	koufukinn
心理的	しんりてき	shinnriteki
料理人	りょうりにん	ryourininn
点差	てんさ	tennsa
定例会	ていれいかい	teireikai
医学的	いがくてき	igakuteki
相続人	そうぞくにん	souzokuninn
機械的	きかいてき	kikaiteki
成人式	せいじんしき	seijinnshiki
料金表	りょうきんひょう	ryoukinnhyou
大成功	だいせいこう	daiseikou
初体験	はつたいけん	hatsutaikenn
料理屋	りょうりや	ryouriya
感動的	かんどうてき	kanndouteki
住民票	じゅうみんひょう	juuminnhyou
先週末	せんしゅうまつ	sennshuumatsu
配信中	はいしんちゅう	haishinntyuu
印刷用	いんさつよう	innsatsuyou
低学年	ていがくねん	teigakunenn
昨年末	さくねんまつ	sakunennmatsu
利用料	りようりょう	riyouryou
改正前	かいせいまえ	kaiseimae
仲間達	なかまたち	nakamatachi
交通量	こうつうりょう	koutsuuryou
入場料	にゅうじょうりょう	nyuujouryou
古民家	こみんか	kominnka
近代的	きんだいてき	kinndaiteki
愛好家	あいこうか	aikouka
加入者	かにゅうしゃ	kanyuusha
試合後	しあいご	shiaigo
助手席	じょしゅせき	joshuseki
無料化	むりょうか	muryouka
労働力	ろうどうりょく	roudouryoku
不用品	ふようひん	fuyouhinn
仲間内	なかまうち	nakamauchi
英数	えいすう	eisuu
店側	みせがわ	misegawa
自然界	しぜんかい	shizennkai
計算機	けいさんき	keisannki
肉体的	にくたいてき	nikutaiteki
司会者	しかいしゃ	shikaisha
新感覚	しんかんかく	shinnkannkaku
会社法	かいしゃほう	kaishahou
実用的	じつようてき	jitsuyouteki
説明文	せつめいぶん	setsumeibunn
使用量	しようりょう	shiyouryou
達成感	たっせいかん	tasseikann
主体的	しゅたいてき	shutaiteki
自発的	じはつてき	jihatsuteki
議事録	ぎじろく	gijiroku
満足感	まんぞくかん	mannzokukann
作成者	さくせいしゃ	sakuseisha
差別化	さべつか	sabetsuka
国民的	こくみんてき	kokuminnteki
料理長	りょうりちょう	ryourityou
議定書	ぎていしょ	giteisho
大好物	だいこうぶつ	daikoubutsu
出席者	しゅっせきしゃ	shussekisha
実験的	じっけんてき	jikkennteki
司令部	しれいぶ	shireibu
分位	ぶんい	bunni
英語力	えいごりょく	eigoryoku
指定席	していせき	shiteiseki
日本的	にほんてき	nihonnteki
一戦	いっせん	issenn
号給	ごうきゅう	goukyuu
運転席	うんてんせき	unntennseki
児童館	じどうかん	jidoukann
消極的	しょうきょくてき	shoukyokuteki
不必要	ふひつよう	fuhitsuyou
先着順	せんちゃくじゅん	senntyakujunn
朝食付	ちょうしょくつき	tyoushokutsuki
未入力	みにゅうりょく	minyuuryoku
身体的	しんたいてき	shinntaiteki
最終戦	さいしゅうせん	saishuusenn
軽量化	けいりょうか	keiryouka
同好会	どうこうかい	doukoukai
対照表	たいしょうひょう	taishouhyou
戦時中	せんじちゅう	sennjityuu
無関心	むかんしん	mukannshinn
一戸建	いっこだて	ikkodate
最重要	さいじゅうよう	saijuuyou
民主化	みんしゅか	minnshuka
開放的	かいほうてき	kaihouteki
副社長	ふくしゃちょう	fukushatyou
不特定	ふとくてい	futokutei
化学的	かがくてき	kagakuteki
地理的	ちりてき	chiriteki
中国産	ちゅうごくさん	tyuugokusann
具材	ぐざい	guzai
人工的	じんこうてき	jinnkouteki
安定的	あんていてき	annteiteki
軍事力	ぐんじりょく	gunnjiryoku
欠品	けっぴん	keppinn
公式戦	こうしきせん	koushikisenn
試合前	しあいまえ	shiaimae
受給者	じゅきゅうしゃ	jukyuusha
不信感	ふしんかん	fushinnkann
失業者	しつぎょうしゃ	shitsugyousha
希望日	きぼうび	kiboubi
発電機	はつでんき	hatsudennki
連合軍	れんごうぐん	renngougunn
海兵隊	かいへいたい	kaiheitai
自治法	じちほう	jichihou
生理的	せいりてき	seiriteki
試合中	しあいちゅう	shiaityuu
産業界	さんぎょうかい	sanngyoukai
要望書	ようぼうしょ	youbousho
社労	しゃろう	sharou
立体的	りったいてき	rittaiteki
持続的	じぞくてき	jizokuteki
各方面	かくほうめん	kakuhoumenn
完食	かんしょく	kannshoku
多目的	たもくてき	tamokuteki
受験者	じゅけんしゃ	jukennsha
無差別	むさべつ	musabetsu
軍事的	ぐんじてき	gunnjiteki
市長選	しちょうせん	shityousenn
古典的	こてんてき	kotennteki
運動量	うんどうりょう	unndouryou
副大臣	ふくだいじん	fukudaijinn
法人化	ほうじんか	houjinnka
信号機	しんごうき	shinngouki
近未来	きんみらい	kinnmirai
具体例	ぐたいれい	gutairei
未登録	みとうろく	mitouroku
今月末	こんげつまつ	konngetsumatsu
集中的	しゅうちゅうてき	shuutyuuteki
大辞典	だいじてん	daijitenn
好意的	こういてき	kouiteki
残業代	ざんぎょうだい	zanngyoudai
季節感	きせつかん	kisetsukann
初見	しょけん	shokenn
外交官	がいこうかん	gaikoukann
直感的	ちょっかんてき	tyokkannteki
交流戦	こうりゅうせん	kouryuusenn
各県	かくけん|かっけん	kakukenn|kakkenn
表面的	ひょうめんてき	hyoumennteki
犬種	けんしゅ	kennshu
受信料	じゅしんりょう	jushinnryou
便利屋	べんりや	bennriya
民主的	みんしゅてき	minnshuteki
先進的	せんしんてき	sennshinnteki
飲料水	いんりょうすい	innryousui
自由席	じゆうせき	jiyuuseki
短期的	たんきてき	tannkiteki
未完成	みかんせい	mikannsei
学芸員	がくげいいん	gakugeiinn
実験室	じっけんしつ	jikkennshitsu
管理局	かんりきょく	kannrikyoku
給湯器	きゅうとうき	kyuutouki
流星群	りゅうせいぐん	ryuuseigunn
人類学	じんるいがく	jinnruigaku
積立金	つみたてきん	tsumitatekinn
初期化	しょきか	shokika
送別会	そうべつかい	soubetsukai
水産業	すいさんぎょう	suisanngyou
副都心	ふくとしん	fukutoshinn
産生	さんせい	sannsei
英米	えいべい	eibei
有料化	ゆうりょうか	yuuryouka
案内人	あんないにん	annnaininn
新記録	しんきろく	shinnkiroku
買付	かいつけ	kaitsuke
静止画	せいしが	seishiga
音楽的	おんがくてき	onngakuteki
祝賀会	しゅくがかい	shukugakai
功労者	こうろうしゃ	kourousha
形式的	けいしきてき	keishikiteki
成功者	せいこうしゃ	seikousha
受信機	じゅしんき	jushinnki
石材店	せきざいてん	sekizaitenn
文例集	ぶんれいしゅう	bunnreishuu
決議案	けつぎあん	ketsugiann
料金所	りょうきんじょ	ryoukinnjo
海側	うみがわ	umigawa
平和的	へいわてき	heiwateki
中心街	ちゅうしんがい	tyuushinngai
通話料	つうわりょう	tsuuwaryou
体力的	たいりょくてき	tairyokuteki
百景	ひゃっけい	hyakkei
衣料品	いりょうひん	iryouhinn
家庭的	かていてき	kateiteki
業種別	ぎょうしゅべつ	gyoushubetsu
副議長	ふくぎちょう	fukugityou
例外的	れいがいてき	reigaiteki
投票所	とうひょうじょ	touhyoujo
県側	けんがわ	kenngawa
送付先	そうふさき	soufusaki
差別的	さべつてき	sabetsuteki
見積書	みつもりしょ	mitsumorisho
反省会	はんせいかい	hannseikai
消火器	しょうかき	shoukaki
機関紙	きかんし	kikannshi
着色料	ちゃくしょくりょう	tyakushokuryou
合法的	ごうほうてき	gouhouteki
試作品	しさくひん	shisakuhinn
億万	おくまん	okumann
通信社	つうしんしゃ	tsuushinnsha
最終章	さいしゅうしょう	saishuushou
薬事法	やくじほう	yakujihou
天然水	てんねんすい	tennnennsui
競走馬	きょうそうば	kyousouba
道徳的	どうとくてき	doutokuteki
歌唱力	かしょうりょく	kashouryoku
選挙戦	せんきょせん	sennkyosenn
二輪車	にりんしゃ	nirinnsha
不本意	ふほんい	fuhonni
未発表	みはっぴょう	mihappyou
卒園	そつえん	sotsuenn
下側	したがわ	shitagawa
多角的	たかくてき	takakuteki
街区	がいく	gaiku
不平等	ふびょうどう	fubyoudou
愛好者	あいこうしゃ	aikousha
人気順	にんきじゅん	ninnkijunn
給料日	きゅうりょうび	kyuuryoubi
出産後	しゅっさんご	shussanngo
固定化	こていか	koteika
機械化	きかいか	kikaika
機動隊	きどうたい	kidoutai
真空管	しんくうかん	shinnkuukann
多面的	ためんてき	tamennteki
日本兵	にほんへい	nihonnhei
管理下	かんりか	kannrika
選挙法	せんきょほう	sennkyohou
後輪	こうりん	kourinn
地元産	じもとさん	jimotosann
月例会	げつれいかい	getsureikai
民芸品	みんげいひん	minngeihinn
連続的	れんぞくてき	rennzokuteki
人生観	じんせいかん	jinnseikann
寒冷地	かんれいち	kannreichi
成果物	せいかぶつ	seikabutsu
連合国	れんごうこく	renngoukoku
無二	むに	muni
消化管	しょうかかん	shoukakann
別料金	べつりょうきん	betsuryoukinn
時間差	じかんさ	jikannsa
見聞録	けんぶんろく	kennbunnroku
児童書	じどうしょ	jidousho
定量的	ていりょうてき	teiryouteki
機動力	きどうりょく	kidouryoku
楽観的	らっかんてき	rakkannteki
原風景	げんふうけい	gennfuukei
記録的	きろくてき	kirokuteki
原始的	げんしてき	gennshiteki
会議場	かいぎじょう	kaigijou
有機的	ゆうきてき	yuukiteki
会議録	かいぎろく	kaigiroku
