情報	じょうほう	jouhou
暴き出す	あばきだす	abakidasu
雪囲い	ゆきがこい	yukigakoi
田舎っぺ	いなかっぺ	inakappe
燃えつく	もえつく	moetsuku
おしどり夫婦	おしどりふうふ	oshidorifuufu
だ液	だえき	daeki
型どる	かたどる	katadoru
過つ	あやまつ|よぎつ	ayamatsu|yogitsu
復する	ふくする	fukusuru
賞する	しょうする	shousuru
引っ張れる	ひっぱれる	hippareru
囲める	かこめる	kakomeru
精しい	くわしい	kuwashii
引っ提げる	ひっさげる	hissageru
比する	ひする	hisuru
逆さまつげ	さかさまつげ	sakasamatsuge
なぶり殺し	なぶりごろし|なぶりころし	naburigoroshi|naburikoroshi
真っ逆さま	まっさかさま	massakasama
断てる	たてる	tateru
費やせる	ついやせる	tsuiyaseru
往ける	ゆける	yukeru
未必の故意	みひつのこい	mihitsunokoi
減す	へす	hesu
お構いなく	おかまいなく	okamainaku
似たりよったり	にたりよったり	nitariyottari
二の句	にのく	ninoku
寄り目	よりめ	yorime
益する	えきする	ekisuru
増せる	ませる|ふやせる	maseru|fuyaseru
質流れ	しちながれ	shichinagare
備えつける	そなえつける	sonaetsukeru
対応付ける	たいおうづける	taioudukeru
かたくり粉	かたくりこ	katakuriko
精出す	せいだす	seidasu
やり過ごせる	やりすごせる	yarisugoseru
買い支え	かいささえ	kaisasae
暴ける	あばける	abakeru
留る	とまる|とどまる|どまる	tomaru|todomaru|domaru
減らず口	へらずぐち	herazuguchi
現せる	あらわせる	arawaseru
思い余る	おもいあまる	omoiamaru
黄な粉	きなこ	kinako
り災	りさい	risai
と殺	とさつ	tosatsu
総ざらい	そうざらい	souzarai
備え付ける	そなえつける	sonaetsukeru
えびす講	えびすこう	ebisukou
編み機	あみき	amiki
定義付ける	ていぎづける	teigidukeru
貸し金	かしきん	kashikinn
はく製	はくせい	hakusei
独りごつ	ひとりごつ	hitorigotsu
賞じゅつ金	しょうじゅつきん	shoujutsukinn
織れる	おれる	oreru
じり貧	じりひん	jirihinn
織りまぜる	おりまぜる	orimazeru
飼い葉	かいば	kaiba
解かす	とかす	tokasu
効きめ	ききめ	kikime
打ち殺す	うちころす	uchikorosu
均す	ならす	narasu
術無い	じつない|じゅつない	jitsunai|jutsunai
太り過ぎ	ふとりすぎ	futorisugi
歩留り	ぶどまり	budomari
型通り	かたどおり	katadoori
独り子	ひとりご	hitorigo
能くする	よくする	yokusuru
判じる	はんじる	hannjiru
順序よく	じゅんじょよく	junnjoyoku
保ち合う	たもちあう	tamochiau
型どおり	かたどおり	katadoori
条件付ける	じょうけんづける	joukenndukeru
所在無い	しょざいない	shozainai
書院造り	しょいんづくり	shoinndukuri
心許無い	こころもとない	kokoromotonai
迷い子	まよいご|まいご	mayoigo|maigo
先祖返り	せんぞがえり	sennzogaeri
耕せる	たがやせる	tagayaseru
ほお張る	ほおばる	hoobaru
態と	わざと	wazato
出任せ	でまかせ	demakase
寄せ場	よせば	yoseba
寄る辺	よるべ	yorube
居住まい	いずまい	izumai
絶てる	たてる	tateru
すり混ぜる	すりまぜる	surimazeru
破れかぶれ	やぶれかぶれ	yaburekabure
情深い	なさけぶかい	nasakebukai
見破れる	みやぶれる	miyabureru
張り合える	はりあえる	hariaeru
行過ぎる	いきすぎる|ゆきすぎる	ikisugiru|yukisugiru
仕損じる	しそんじる	shisonnjiru
総毛立つ	そうけだつ	soukedatsu
世迷い言	よまいごと	yomaigoto
質入れ	しちいれ	shichiire
往き来	ゆきき|いきき	yukiki|ikiki
水張り	みずばり	mizubari
逆らえる	さからえる	sakaraeru
建て増し	たてまし	tatemashi
理解し合える	りかいしあえる	rikaishiaeru
血統書付き	けっとうしょつき	kettoushotsuki
態とらしい	わざとらしい	wazatorashii
解き放す	ときはなす	tokihanasu
略する	りゃくする	ryakusuru
お眼鏡	おめがね	omegane
弁ずる	べんずる	bennzuru
判官びいき	はんがんびいき	hanngannbiiki
毒毒しい	どくどくしい	dokudokushii
解け合う	とけあう|とけおう	tokeau|tokeou
人寄せ	ひとよせ	hitoyose
往ぬ	いぬ	inu
寄り合う	よりあう|よりおう	yoriau|yoriou
罪ぶかい	つみぶかい	tsumibukai
水責め	みずぜめ	mizuzeme
採りあげる	とりあげる	toriageru
逆と	ぎゃくと|げきと	gyakuto|gekito
かさ張る	かさばる	kasabaru
ごね得	ごねどく	gonedoku
毒どくしい	どくどくしい	dokudokushii
夢語り	ゆめがたり	yumegatari
弁じる	べんじる	bennjiru
張出し	はりだし	haridashi
くず粉	くずこ	kuzuko
口減らし	くちべらし	kuchiberashi
貯える	たくわえる	takuwaeru
山留め	やまどめ	yamadome
素ばやい	すばやい	subayai
独り旅	ひとりたび	hitoritabi
素通し	すどおし	sudooshi
提灯持ち	ちょうちんもち	tyouchinnmochi
女殺し	おんなごろし	onnnagoroshi
義理立て	ぎりだて	giridate
態とがましい	わざとがましい	wazatogamashii
報せる	しらせる	shiraseru
似合しい	にあわしい	niawashii
居たたまらない	いたたまらない	itatamaranai
謝する	しゃする	shasuru
授かりもの	さずかりもの	sazukarimono
殺りく	さつりく	satsuriku
鉱さい	こうさい	kousai
こんにゃく粉	こんにゃくこ	konnnyakuko
死に損ない	しにぞこない|しにそこない	shinizokonai|shinisokonai
似気無い	にげない	nigenai
似あわしい	にあわしい	niawashii
興ずる	きょうずる	kyouzuru
救い出せる	すくいだせる	sukuidaseru
現ずる	げんずる	gennzuru
寄せ木	よせぎ	yosegi
貸切る	かしきる	kashikiru
余りもの	あまりもの	amarimono
似かよう	にかよう	nikayou
常世の国	とこよのくに	tokoyonokuni
逆ざや	ぎゃくざや	gyakuzaya
左近の桜	さこんのさくら	sakonnnosakura
こらえ性	こらえしょう	koraeshou
引け際	ひけぎわ	hikegiwa
生き仏	いきぼとけ	ikibotoke
混じりけ	まじりけ	majirike
停る	とまる|どまる	tomaru|domaru
下張り	したばり	shitabari
断ち切れる	たちきれる	tachikireru
燃えつきる	もえつきる	moetsukiru
手解き	てほどき	tehodoki
織りあげる	おりあげる	oriageru
じん性	じんせい	jinnsei
ほう酸	ほうさん	housann
きゅう舎	きゅうしゃ	kyuusha
勢いづける	いきおいづける	ikioidukeru
貸し主	かしぬし	kashinushi
謝れる	あやまれる	ayamareru
張付ける	はりつける	haritsukeru
寄付く	よりつく	yoritsuku
織り目	おりめ	orime
組織立つ	そしきだつ	soshikidatsu
肥し	こやし	koyashi
肥立ち	ひだち	hidachi
護れる	まもれる	mamoreru
季寄せ	きよせ	kiyose
見栄張り	みえっぱり|みえばり	mieppari|miebari
しゃ断	しゃだん	shadann
織りこむ	おりこむ	orikomu
